project	sample	experiment	run	Y chr overlaps	XIST overlaps	total overlaps	Y chr junctions	XIST junctions	total junctions	is male?	(Y chr overlaps / total overlaps)
SRP040547	SRS582851	SRX501803	SRR1205984	16	0	2662692	16	0	123168	1	0.00000601
DRP001797	DRS016620	DRX021449	DRR023643	9	179	1498762	7	18	114356	0	0.00000600
ERP001458	ERS140920	ERX103444	ERR127307	55	0	9202482	32	0	191750	0	0.00000598
SRP015989	SRS362528	SRX191092	SRR579382	8	30	1345941	4	11	127764	0	0.00000594
DRP001797	DRS016623	DRX021456	DRR023694	9	127	1519844	7	15	108888	0	0.00000592
SRP015989	SRS362528	SRX191096	SRR579386	11	29	1857688	4	8	134079	0	0.00000592
SRP040547	SRS582784	SRX501733	SRR1205913	29	0	4926955	29	0	151198	1	0.00000589
ERP000546	ERS025098	ERX011220	ERR030880	40	76	6796828	18	8	154781	0	0.00000589
DRP001797	DRS016623	DRX021456	DRR023697	9	115	1534418	6	15	109293	0	0.00000587
DRP001797	DRS016623	DRX021456	DRR023685	9	130	1536899	4	12	109220	0	0.00000586
SRP043108	SRS634217	SRX589531	SRR1377175	9	19	1538810	5	10	88386	0	0.00000585
DRP001797	DRS014279	DRX021433	DRR023463	10	51	1713468	7	10	124391	0	0.00000584
DRP001797	DRS016623	DRX021456	DRR023693	9	143	1560619	6	13	109093	0	0.00000577
ERP005641	ERS444314	ERX548810	ERR590821	20	0	3492580	9	0	172683	1	0.00000573
SRP043108	SRS634213	SRX589527	SRR1377159	8	13	1397505	7	9	94199	0	0.00000572
SRP041736	SRS603215	SRX534498	SRR1274234	9	0	1573631	4	0	30990	0	0.00000572
ERP005641	ERS444310	ERX548792	ERR590803	18	6	3149727	6	2	163936	0	0.00000571
SRP017262	SRS376469	SRX205700	SRR620044	3	15	525965	2	4	65975	0	0.00000570
SRP028344	SRS465599	SRX329583	SRR946067	9	87	1581711	8	13	137125	0	0.00000569
DRP001797	DRS016623	DRX021456	DRR023695	9	102	1584044	3	14	109616	0	0.00000568
DRP001797	DRS014275	DRX021429	DRR023415	8	100	1417906	8	11	110621	0	0.00000564
SRP043368	SRS641338	SRX610324	SRR1424731	30	81	5319356	18	14	141772	0	0.00000564
ERP000546	ERS025090	ERX011194	ERR030872	49	354	8693804	20	17	195722	0	0.00000564
DRP001797	DRS014272	DRX021426	DRR023386	3	18	532547	3	8	87384	0	0.00000563
DRP001797	DRS014275	DRX021429	DRR023420	8	113	1420861	4	13	110872	0	0.00000563
DRP001797	DRS014275	DRX021429	DRR023418	8	92	1436547	7	13	111323	0	0.00000557
DRP001797	DRS014275	DRX021429	DRR023409	8	100	1441170	4	11	111288	0	0.00000555
SRP018022	SRS362528	SRX218886	SRR651375	12	44	2165392	5	10	146320	0	0.00000554
SRP028344	SRS465599	SRX329578	SRR946065	9	113	1632942	3	16	138942	0	0.00000551
SRP031858	SRS493217	SRX367094	SRR1015682	2	0	365119	2	0	65082	0	0.00000548
SRP040547	SRS582796	SRX501745	SRR1205927	44	0	8070575	29	0	178800	1	0.00000545
SRP012656	SRS312068	SRX145878	SRR493941	55	395	10116584	34	17	257072	0	0.00000544
SRP040547	SRS582804	SRX501753	SRR1205935	18	0	3360159	14	0	164910	1	0.00000536
SRP028340	SRS362528	SRX329529	SRR946069	12	98	2242200	6	14	147115	0	0.00000535
SRP012656	SRS312069	SRX145879	SRR493943	56	964	10466282	38	25	279453	0	0.00000535
DRP001797	DRS016620	DRX021449	DRR023647	8	169	1495699	5	14	114300	0	0.00000535
SRP028344	SRS465599	SRX329575	SRR946064	11	76	2082624	7	10	144863	0	0.00000528
SRP028340	SRS362528	SRX329528	SRR946068	10	80	1894410	4	13	140483	0	0.00000528
SRP041736	SRS603207	SRX534490	SRR1274218	14	0	2654801	5	0	41400	0	0.00000527
SRP040547	SRS582790	SRX501739	SRR1205921	16	0	3037986	10	0	147191	1	0.00000527
SRP041736	SRS603208	SRX534491	SRR1274220	8	0	1521993	5	0	23185	0	0.00000526
SRP041736	SRS603227	SRX534510	SRR1274258	10	6	1927313	7	5	30123	0	0.00000519
SRP043368	SRS641353	SRX610339	SRR1424746	25	47	4839767	17	12	133637	0	0.00000517
SRP043108	SRS634219	SRX589533	SRR1377182	5	16	968783	5	8	76254	0	0.00000516
DRP001797	DRS014278	DRX021432	DRR023457	9	39	1744834	8	11	129515	0	0.00000516
DRP001797	DRS016623	DRX021456	DRR023699	8	153	1556720	4	16	109434	0	0.00000514
DRP001797	DRS014273	DRX021427	DRR023388	9	77	1753223	5	14	127467	0	0.00000513
DRP001797	DRS016623	DRX021456	DRR023692	8	121	1558600	5	10	109542	0	0.00000513
SRP043368	SRS641348	SRX610334	SRR1424741	25	78	4871031	23	15	136561	0	0.00000513
DRP001797	DRS014281	DRX021435	DRR023477	9	93	1756093	5	11	126148	0	0.00000513
DRP001797	DRS014273	DRX021427	DRR023387	9	58	1757509	8	12	127494	0	0.00000512
SRP041736	SRS603230	SRX534513	SRR1274264	11	0	2154395	4	0	17065	0	0.00000511
