min projects	junctions	annotated	exonskips	altstartend	novel	GTAG	annotated GTAG	GCAG	annotated GCAG	ATAC	annotated ATAC
395	166023	151350	3726	8953	1994	163294	149832	2142	1360	587	158
394	166439	151603	3759	9055	2022	163694	150083	2153	1362	592	158
393	166885	151877	3811	9152	2045	164124	150356	2164	1363	597	158
392	167330	152159	3868	9237	2066	164558	150633	2173	1367	599	159
391	167768	152403	3930	9344	2091	164985	150875	2181	1369	602	159
390	168215	152683	3969	9451	2112	165419	151153	2192	1371	604	159
389	168656	152955	4003	9564	2134	165846	151423	2204	1373	606	159
388	169107	153224	4046	9685	2152	166284	151689	2214	1376	609	159
387	169554	153493	4095	9797	2169	166709	151952	2234	1381	611	160
386	170000	153767	4134	9900	2199	167134	152225	2248	1382	618	160
385	170483	154069	4187	10009	2218	167602	152527	2261	1382	620	160
384	170967	154368	4229	10126	2244	168066	152823	2276	1385	625	160
383	171482	154678	4268	10269	2267	168562	153127	2290	1391	630	160
382	171974	154968	4324	10396	2286	169036	153411	2307	1397	631	160
381	172460	155262	4357	10531	2310	169499	153697	2324	1404	637	161
380	172962	155589	4408	10636	2329	169974	154019	2346	1409	642	161
379	173410	155856	4445	10757	2352	170407	154284	2358	1411	645	161
378	173909	156146	4504	10875	2384	170882	154567	2375	1416	652	163
377	174382	156437	4553	10983	2409	171340	154854	2385	1420	657	163
376	174884	156733	4609	11109	2433	171823	155144	2399	1425	662	164
375	175358	157000	4662	11235	2461	172276	155410	2413	1426	669	164
374	175819	157288	4714	11342	2475	172720	155696	2429	1428	670	164
373	176304	157590	4770	11453	2491	173188	155994	2444	1432	672	164
372	176783	157870	4828	11567	2518	173650	156269	2455	1436	678	165
371	177258	158140	4896	11674	2548	174106	156536	2470	1438	682	166
370	177767	158451	4934	11807	2575	174593	156841	2486	1444	688	166
369	178267	158739	4984	11945	2599	175073	157126	2501	1447	693	166
368	178760	159015	5047	12072	2626	175550	157397	2511	1452	699	166
367	179237	159272	5108	12204	2653	176008	157650	2527	1456	702	166
366	179706	159554	5164	12303	2685	176458	157926	2542	1461	706	167
365	180232	159867	5222	12424	2719	176968	158236	2551	1464	713	167
364	180762	160176	5290	12554	2742	177484	158541	2563	1468	715	167
363	181246	160463	5346	12671	2766	177953	158824	2576	1472	717	167
362	181752	160754	5399	12811	2788	178438	159107	2592	1480	722	167
361	182282	161053	5453	12951	2825	178940	159404	2614	1482	728	167
360	182760	161305	5513	13086	2856	179399	159655	2625	1482	736	168
359	183284	161602	5569	13225	2888	179901	159948	2637	1486	746	168
358	183825	161899	5638	13374	2914	180430	160241	2647	1490	748	168
357	184350	162205	5702	13500	2943	180937	160545	2658	1492	755	168
356	184884	162502	5774	13635	2973	181453	160837	2673	1497	758	168
355	185449	162810	5835	13802	3002	182001	161142	2685	1500	763	168
354	185996	163113	5898	13939	3046	182524	161444	2702	1501	770	168
353	186497	163385	5955	14079	3078	183005	161710	2720	1507	772	168
352	187040	163691	6008	14233	3108	183525	162009	2738	1513	777	169
351	187552	163986	6052	14369	3145	184015	162299	2755	1518	782	169
350	188076	164267	6109	14513	3187	184512	162573	2774	1524	790	170
349	188623	164553	6178	14669	3223	185037	162859	2789	1524	797	170
348	189182	164830	6253	14832	3267	185569	163132	2808	1528	805	170
347	189718	165127	6312	14972	3307	186074	163425	2829	1532	815	170
346	190294	165419	6403	15124	3348	186622	163713	2847	1536	825	170
345	190858	165731	6470	15260	3397	187157	164020	2866	1540	835	171
344	191408	166023	6534	15415	3436	187689	164309	2877	1543	842	171
343	191923	166301	6597	15556	3469	188186	164582	2889	1548	848	171
342	192480	166596	6661	15720	3503	188721	164876	2902	1549	857	171
341	193032	166916	6715	15861	3540	189259	165192	2909	1553	864	171
